,station_origin,station_destination,flows,distance
0,Abbey Road,Monument,0,6726.864645897896
1,Abbey Road,Beckton,1,5846.781618739256
2,Abbey Road,Blackwall,3,1988.3476591018125
3,Abbey Road,Canary Wharf,1,3019.133615375181
4,Abbey Road,Canning Town,37,421.07319549313246
5,Abbey Road,Crossharbour,1,4219.305014550108
6,Abbey Road,Custom House,0,1210.282422055015
7,Abbey Road,Cutty Sark,2,6012.476504734236
8,Abbey Road,Cyprus,7,3880.3445291063363
9,Abbey Road,Devons Road,1,3407.2523622870403
10,Abbey Road,East India,2,1605.4506972294266
11,Abbey Road,Island Gardens,2,5226.438766514525
12,Abbey Road,King George V,5,4669.338810490289
13,Abbey Road,Langdon Park,8,3198.9191750993004
14,Abbey Road,Lewisham,0,8697.031510952498
15,Abbey Road,Limehouse,2,3591.74929060882
16,Abbey Road,London City Airport,4,3643.6372308818845
17,Abbey Road,Pontoon Dock,8,2508.163224312548
18,Abbey Road,Poplar,0,2371.460078081083
19,Abbey Road,Prince Regent,1,1714.6411309813757
20,Abbey Road,Royal Albert,4,2597.1776011296943
21,Abbey Road,Shadwell,1,4787.470334661791
22,Abbey Road,South Quay,7,3630.5322785637945
23,Abbey Road,Star Lane,7,412.36472810243004
24,Abbey Road,Stratford,285,327.0499118658518
25,Abbey Road,Stratford High Street,10,648.1024775518651
26,Abbey Road,Stratford International,33,2206.0181333914975
27,Abbey Road,West Ham,130,191.6488302010993
28,Abbey Road,West Silvertown,2,1760.6586724970966
29,Abbey Road,Westferry,3,2624.0459890231823
30,Abbey Road,Woolwich Arsenal,32,7092.754838802335
31,Acton Central,Barking,0,21432.55162419756
32,Acton Central,Blackhorse Road,0,17889.554100894275
33,Acton Central,Brondesbury,76,3574.903476738533
34,Acton Central,Brondesbury Park,31,2838.9787582245017
35,Acton Central,Bushey,0,17355.583089627027
36,Acton Central,Caledonian Road & Barnsbury,22,11046.750267133273
37,Acton Central,Camden Road,52,9290.641682301664
38,Acton Central,Canada Water,0,14735.488077445105
39,Acton Central,Canonbury,3,12692.165742279109
40,Acton Central,Carpenders Park,0,15405.323403776227
41,Acton Central,Crouch Hill,2,10418.442217209526
