station_origin,station_destination,flow_changeA,flow_changeB1,flow_changeB2
Waterloo,Bank and Monument,-12299,-12037,-15349
Waterloo,Canary Wharf,-7417,-7647,-8085
London Bridge,Canary Wharf,-5753,-5866,-6165
Stratford,Liverpool Street,-4809,-4374,1158
Victoria,Oxford Circus,-3501,-2253,-4969
Canada Water,Canary Wharf,-2976,256,1360
Liverpool Street,Farringdon,-2742,-2378,-3741
Stratford,Canary Wharf,-2424,582,1005
Finsbury Park,Highbury & Islington,-2379,741,15091
Canada Water,London Bridge,-2280,-1641,4384
Victoria,Warren Street,-2034,-2168,-2599
Bank and Monument,Canary Wharf,-2001,-2151,-2339
Canary Wharf,Bank and Monument,-1976,-2205,-2621
Brixton,Oxford Circus,-1757,-1520,-1736
King's Cross St. Pancras,Victoria,-1638,-1796,-2119
Vauxhall,Oxford Circus,-1587,-1334,-2106
Finsbury Park,King's Cross St. Pancras,-1540,-726,-370
Victoria,Euston,-1491,-1653,-1968
London Bridge,Bond Street,-1456,-1641,-1814
Highbury & Islington,Victoria,-1436,-1468,-1826
Finsbury Park,Victoria,-1419,-1441,-1850
Euston,Victoria,-1402,-1521,-1753
Southwark,Canary Wharf,-1375,-1396,-1429
Euston,Bank and Monument,-1367,-1712,-1956
Highbury & Islington,Oxford Circus,-1299,-1087,-1805
Finsbury Park,Farringdon,-1293,-1032,-1342
Victoria,King's Cross St. Pancras,-1279,-1527,-1956
Lewisham,Heron Quays,-1261,-1464,-1604
Liverpool Street,Euston Square,-1261,-1376,-1430
Clapham Junction,Shepherd's Bush,-1246,-949,1178
London Bridge,Old Street,-1179,-1137,-1703
Brixton,Vauxhall,-1141,464,4744
Vauxhall,King's Cross St. Pancras,-1091,-1166,-1392
Waterloo,Bond Street,-1086,-1125,-2125
Seven Sisters,Highbury & Islington,-1056,-637,-1102
Bank and Monument,South Quay,-1041,-1096,-1111
Walthamstow Central,Highbury & Islington,-1038,-936,-1393
Limehouse,Bank and Monument,-1025,-1504,-2070
Bank and Monument,Waterloo,-1011,-1178,-1561
Seven Sisters,Victoria,-988,-978,-1269
Stratford,Camden Road,-986,-921,-1156
Southfields,Wimbledon,-986,55,3417
Highams Park,Walthamstow Central,-984,-644,-1191
Homerton,Highbury & Islington,-963,-980,-1291
Euston Square,Farringdon,-956,-924,-1081
Canning Town,Woolwich Arsenal,-935,-403,-929
Vauxhall,Green Park,-929,-649,-1280
Walthamstow Central,Victoria,-929,-919,-1193
Stratford,Woolwich Arsenal,-913,24,-539
Paddington,Farringdon,-896,-918,-1252
Westferry,Bank and Monument,-895,-1148,-1216
Brixton,Victoria,-890,-115,3279
Waterloo,Goodge Street,-886,-940,-1337
Stratford,Hackney Central,-882,-646,-1166
Highams Park,Liverpool Street,-880,-929,1042
Walthamstow Central,Liverpool Street,-865,-685,1013
Euston,Moorgate,-856,-1046,-1139
Vauxhall,Warren Street,-854,-903,-1078
Surrey Quays,Whitechapel,-851,-1072,-1147
Liverpool Street,Holborn,-850,-1087,-1327
Stratford,Dalston Kingsland,-842,-745,-1027
Waterloo,Piccadilly Circus,-842,-197,4404
Ealing Broadway,Paddington,-832,-762,-544
Bank and Monument,Heron Quays,-825,-911,-919
Lewisham,Canary Wharf,-812,681,4395
Richmond,Gunnersbury,-805,-504,2058
North Greenwich,Canary Wharf,-801,3649,9144
Bermondsey,Canary Wharf,-793,-599,-937
Liverpool Street,King's Cross St. Pancras,-786,-1112,-1417
Gidea Park,Liverpool Street,-780,-1034,-1088
Brixton,Warren Street,-777,-830,-1054
West Hampstead,Kentish Town West,-773,-759,-800
Stratford,Homerton,-772,-394,-654
Shepherd's Bush,Clapham Junction,-768,-586,-802
London Bridge,Green Park,-764,-999,-1283
Liverpool Street,Great Portland Street,-763,-865,-897
Dagenham Heathway,Barking,-761,-499,-451
Forest Hill,Canada Water,-756,-746,484
Stratford,Romford,-755,-836,-843
Edmonton Green,Seven Sisters,-753,-700,-983
Heron Quays,Bank and Monument,-749,-906,-913
Finsbury Park,Oxford Circus,-748,-567,-1279
Stratford,Ilford,-745,-835,-901
King's Cross St. Pancras,Vauxhall,-744,-865,-943
Stratford,Waterloo,-733,-850,-1312
Hackney Central,Highbury & Islington,-733,-653,-1221
Canning Town,Waterloo,-716,-823,-978
Shadwell,Shoreditch High Street,-712,-581,-931
Chingford,Liverpool Street,-710,-731,370
Stratford,Holborn,-705,-799,-1088
London Bridge,Angel,-698,-797,-905
South Quay,Bank and Monument,-698,-866,-898
Liverpool Street,Paddington,-696,-858,-905
Blackhorse Road,Highbury & Islington,-685,-668,-858
Canada Water,Shoreditch High Street,-682,-408,-891
Tower Hill,Blackfriars,-680,-678,-801
Waterloo,Paddington,-678,-963,-1255
Woolwich Arsenal,Canning Town,-674,-599,-474
Balham,Bank and Monument,-674,-667,-333
Stratford,Chancery Lane,-670,-683,-615
Finsbury Park,Vauxhall,-665,-734,-870
King's Cross St. Pancras,Aldgate,-662,-750,-842
Canada Water,Bond Street,-656,-760,-957
Brixton,Green Park,-656,-500,-556
Walthamstow Central,King's Cross St. Pancras,-655,-558,-782
Euston,Old Street,-654,-723,-872
King's Cross St. Pancras,Paddington,-644,-736,-1004
Bank and Monument,Limehouse,-641,-669,-725
Waterloo,Canning Town,-638,-895,-952
Clapton,Liverpool Street,-636,-569,-278
Blackfriars,St. James's Park,-627,-663,-714
Baker Street,Canary Wharf,-627,-662,-687
Clapham Junction,Kensington,-624,-541,-788
Balham,Moorgate,-622,-688,-787
Liverpool Street,Tottenham Court Road,-621,-839,-972
Bank and Monument,Chancery Lane,-619,-606,-1118
Tottenham Hale,Victoria,-615,-648,-765
Clapham Junction,Denmark Hill,-614,-435,-583
Farringdon,Liverpool Street,-612,-370,-991
Highbury & Islington,Vauxhall,-612,-681,-791
Woodford,Stratford,-611,-440,-40
Brockley,Canada Water,-606,-519,-150
Seven Sisters,Vauxhall,-605,-642,-764
Walthamstow Central,Oxford Circus,-605,-552,-612
Highbury & Islington,Finsbury Park,-603,-163,-955
Elm Park,Barking,-602,-514,-637
Aldgate,Farringdon,-601,-597,-677
Queens Road Peckham,Canada Water,-596,-511,-258
Clapham South,Bank and Monument,-595,-596,-424
Barking,Walthamstow Queens Road,-594,-582,-614
Seven Sisters,Oxford Circus,-592,-478,162
Highbury & Islington,Warren Street,-590,-503,-952
Crystal Palace,Canada Water,-590,-616,-5
Vauxhall,Euston,-589,-644,-789
Tower Hill,Embankment,-588,-642,-659
London Bridge,Euston,-587,-767,-859
Baker Street,Farringdon,-583,-606,-708
East Ham,Whitechapel,-582,-579,-659
Euston Square,Liverpool Street,-579,-650,-745
Stratford,Caledonian Road & Barnsbury,-579,-635,-691
West Hampstead,Canary Wharf,-578,-618,-680
Tottenham Hale,Highbury & Islington,-573,-524,-797
Chadwell Heath,Stratford,-573,-192,-262
Canada Water,Waterloo,-571,-522,-950
Highbury & Islington,Hackney Central,-571,-532,-674
Shepherd's Bush,Liverpool Street,-567,-702,-802
Enfield Town,Seven Sisters,-564,-520,-743
Paddington,Canary Wharf,-562,-643,-772
Liverpool Street,Baker Street,-560,-726,-772
Waterloo,Tottenham Court Road,-560,-11,439
West Ham,Woolwich Arsenal,-558,-443,-591
Paddington,Moorgate,-557,-747,-861
Elephant & Castle,Oxford Circus,-554,-549,-804
Euston,Vauxhall,-553,-641,-690
Canada Water,Stratford,-552,-915,-1215
Victoria,Highbury & Islington,-552,-808,-930
Canary Wharf,London Bridge,-551,-662,-851
Peckham Rye,Clapham Junction,-550,-454,-630
